,Crime,District,Neighborhood,ILEADSStreet,CADStreet,Lon,Lat
7095,71013,4,62,N 3RD ST / CARR ST,PENNSYLVANIA,-90.18575382999995,38.634004650000065
7096,265321,4,36,N 15TH ST / LOCUST ST,,-90.20131772799994,38.63165921600006
7097,31111,3,21,S 11TH ST,11TH,-90.20867651699996,38.60805184600008
7098,31411,3,21,S 10TH ST / GEYER AVE,,-90.20532784799997,38.608977078000066
7099,64601,4,35,LOCUST ST,,-90.19317874599994,38.62972974300004
7100,265321,4,35,CHESTNUT ST / N TUCKER BLVD,,-90.19799276899994,38.62831713600008
7101,65701,4,60,MADISON ST,ARSENAL,-90.20530673399998,38.64595083100005
7102,73413,2,27,TOWER GROVE AVE,TOWER GROVE,-90.25705360399996,38.61071050400005
7103,265321,6,74,N BROADWAY,BROADWAY,-90.22969506099997,38.70631238800007
7104,31111,4,62,CASS AVE / N TUCKER BLVD,,-90.19192966399999,38.64070463000007
7105,64701,6,74,JORDAN AVE,JORDAN,-90.23042159299996,38.724206217000074
7106,142320,3,16,KEOKUK ST,KEOKUK,-90.23850329199996,38.585490297000035
7107,31111,2,11,KNOX AVE,KNOX,-90.28987941799994,38.617292888000065
7108,265321,4,35,S BROADWAY / SPRUCE ST,,-90.19124084899994,38.622535828000025
7109,72113,3,31,EADS AVE,EADS,-90.23089149599997,38.61758398400008
7110,64601,4,36,LUCAS AVE,LOCUST,-90.20886480499996,38.63506120900007
7111,263299,4,67,CARTER AVE,CLARENCE,-90.21069271599998,38.667860129000076
7112,31111,2,39,TALMAGE AVE,,-90.25168289199996,38.62768552700004
7113,241100,1,2,MICHIGAN AVE,MICHIGAN,-90.25907817999996,38.55070729700003
7114,91113,3,19,MIAMI ST,MIAMI,-90.23821893999997,38.59096231900003
7115,142320,3,30,OREGON AVE,OREGON,-90.23127012599997,38.59508469700006
7116,265321,3,21,RUSSELL AVE,,-90.20993580999999,38.60757992900005
7117,265321,3,16,CHIPPEWA ST,,-90.23247772899998,38.58656681700006
7118,250000,4,36,N 13TH ST,13TH,-90.19844778299995,38.63167382200004
7119,64701,4,35,OLIVE ST,OLIVE,-90.18815222799998,38.62778607300004
7120,41013,2,41,HAMPTON AVE,,-90.28727064199995,38.62684399600005
7121,142320,1,5,GANNETT ST,GANNETT,-90.27116191699997,38.585479074000034
7122,83000,6,74,PELHAM AVE,PELHAM,-90.22854603299999,38.71158182100004
7123,64601,4,36,WASHINGTON AVE,WASHINGTON,-90.19784878199994,38.63168051400004
7124,142320,6,69,KOSSUTH AVE,SHREVE,-90.24513166299994,38.67878105400007
7125,64711,3,22,VICTOR ST,VICTOR,-90.21934952599997,38.605526961000066
7126,64701,4,35,CLARK AVE,CLARK,-90.19608161999997,38.624218022000036
7127,51121,3,30,S JEFFERSON AVE,JEFFERSON,-90.22458774599994,38.599509339000065
7128,91114,3,18,WISCONSIN AVE,,-90.22197833199994,38.58628972200006
7129,51312,4,60,BENTON ST,BENTON,-90.20707239599994,38.64889888100004
7130,67701,4,35,LUCAS AVE,LUCAS,-90.19471261399997,38.63198266100005
7131,265321,2,28,I 44 WESTBOUND / S VANDEVENTER,,-90.25968695899996,38.61883839800004
7132,91113,4,62,BIDDLE ST,BIDDLE,-90.18886410799996,38.636157522000076
7133,265321,3,20,CHOUTEAU AVE / I 44 WESTBOUND,,-90.19116989599996,38.616717031000064
7134,229999,4,36,OLIVE ST,,-90.19946899299998,38.630654968000044
7135,265321,1,17,OSCEOLA ST,OSCEOLA,-90.23437812399999,38.57631038200003
7136,63701,3,19,S JEFFERSON AVE,JEFFERSON,-90.22596431499994,38.592974498000046
7137,265321,3,21,LAFAYETTE AVE,,-90.20352485899997,38.61161136000004
7138,130000,5,50,GOODFELLOW BLVD,,-90.27377282999998,38.68038315500007
7139,92000,5,48,CLEMENS AVE,CLEMENS,-90.27997920999996,38.65613493300003
7140,250000,4,37,PAPIN ST / S VANDEVENTER AVE,,-90.24684481799994,38.62878176600003
7141,31111,4,65,N 20TH ST,20TH,-90.20265222899997,38.65969561900005
7142,67601,4,37,LACLEDE AVE,LACLEDE,-90.23202560399994,38.633452523000074
7143,91113,1,17,S BROADWAY,OREGON,-90.23521613999998,38.569765120000056
7144,65701,5,50,KENNERLY AVE,KENNERLY,-90.27666007399995,38.67745333800008
7145,263299,1,1,TENNESSEE AVE,TENNESSEE,-90.25166630299998,38.570450866000044
7146,241100,6,68,RED BUD AVE,RED BUD,-90.22602077899995,38.67507207400007
7147,64701,4,35,N MEMORIAL DR,,-90.18683598399997,38.62747501400003
7148,69602,4,64,DICKSON ST,LEWIS,-90.18250137599995,38.63785662400005
7149,41011,6,56,ASHLAND AVE,,-90.23844771499995,38.66815339500005
7150,41011,6,56,ASHLAND AVE,,-90.23844771499995,38.66815339500005
7151,41011,6,56,ASHLAND AVE,,-90.23844771499995,38.66815339500005
7152,41011,6,56,ASHLAND AVE,,-90.23844771499995,38.66815339500005
7153,41011,6,56,ASHLAND AVE,,-90.23844771499995,38.66815339500005
7154,41011,6,56,ASHLAND AVE,,-90.23844771499995,38.66815339500005
7155,241100,4,35,CHESTNUT ST,,-90.18854586799995,38.625963832000025
7156,265321,5,54,CORA AVE / DR MARTIN LUTHER KI,,-90.25169905799999,38.659425586000054
7157,142320,4,62,HADLEY ST,HADLEY,-90.19439844599998,38.636718546000054
7158,241100,3,22,S JEFFERSON AVE,JEFFERSON,-90.22452180399995,38.59652984500008
7159,41013,1,7,WINONA AVE,WINONA,-90.27511217599994,38.59037176000004
7160,41013,1,7,WINONA AVE,WINONA,-90.27511217599994,38.59037176000004
7161,142320,3,30,WYOMING ST,WYOMING,-90.22608885099999,38.59730787700005
7162,265321,4,35,N MEMORIAL DR,,-90.18660775299998,38.627474403000065
7163,65701,2,15,HARTFORD ST,HARTFORD,-90.25754665999995,38.60355013700007
7164,69603,3,33,CARROLL ST,CARROLL,-90.20777288399995,38.61487871400004
7165,266510,4,35,WASHINGTON AVE,,-90.19202164399996,38.630418674000055
7166,266510,4,36,N TUCKER BLVD,TUCKER,-90.19666567499996,38.63306139500003
7167,65701,2,15,GRAVOIS AVE,GRAVOIS,-90.25371646699995,38.59007881300005
7168,67601,6,74,GUSTAV AVE,GUSTAV,-90.23065970899995,38.72380312200005
7169,71030,5,52,NORWOOD AVE,NORWOOD,-90.25862851299996,38.671239240000034
7170,151110,5,51,ACADEMY AVE,,-90.26533859499995,38.66263350300005
7171,182250,1,16,GRAVOIS AVE,GRAVOIS,-90.25635654199993,38.58946924800006
7172,91113,4,36,LOCUST ST,LOCUST,-90.19865947399995,38.63102907600006
7173,265321,1,17,MICHIGAN AVE,MICHIGAN,-90.23878765099994,38.578072219000035
7174,67601,5,55,TERRY AVE,TERRY,-90.25539087399994,38.670150629000034
